Gene	SampleNumber
CLCN1	4
CLCN7	4
CLCNKA	4
CLOCK	4
CMYA5	4
COL12A1	4
COL5A1	4
COL6A6	4
CP	4
CPSF1	4
CPSF6	4
CREBBP	4
CSF2RB	4
CTNND2	4
CUX2	4
CYLC2	4
CYP2D6	4
CYP4A11	4
CYP4B1	4
CYP4F12	4
DAO	4
DCAF12L1	4
DDX5	4
DLG5	4
DLGAP2	4
DNAAF1	4
DNAH17	4
DSC2	4
DSG4	4
DUOX2	4
DVL2	4
ENPEP	4
ENPP2	4
ENPP7	4
EPHA5	4
EPHA6	4
EPHB6	4
EVPL	4
EXPH5	4
F13A1	4
FAM47A	4
FAM83B	4
FANCM	4
FAT3	4
FBXL12	4
FBXO38	4
FGFR3	4
FGG	4
FILIP1	4
FRMPD4	4
FTMT	4
FUCA1	4
GABRA4	4
GABRB3	4
GABRG2	4
GFRAL	4
GLI1	4
GLT8D2	4
GNAT3	4
GOLGA6L10	4
GPR179	4
GRHL3	4
GRM6	4
GTF3C1	4
HCK	4
HECW1	4
HEPHL1	4
HERC1	4
HERC2P3	4
HIPK2	4
HTR5A	4
IFNA10	4
IFT172	4
IMPG1	4
ITGAM	4
ITPR1	4
ITPR3	4
JPH1	4
KCNH5	4
KCNQ5	4
KCNT1	4
KCNU1	4
KIAA0020	4
KIAA1109	4
KIAA1244	4
KIAA1324L	4
KIAA1462	4
KIF16B	4
KIF19	4
KIR3DL2	4
KLHL34	4
KLK6	4
KLRC2	4
KRT37	4
KRTAP4-8	4
LAMA3	4
LAMB3	4
LGI2	4
LGSN	4
LILRB1	4
LILRB2	4
LOC401010	4
LOC649330	4
LPA	4
LRRC7	4
LRRIQ1	4
LRRK1	4
LY75-CD302	4
MAGEB1	4
MATN4	4
MBNL1	4
MC3R	4
MCOLN3	4
MDC1	4
MECOM	4
MED13	4
MEGF8	4
MIB1	4
MKI67	4
MLLT4	4
MORC1	4
MOV10L1	4
MSL3	4
MTOR	4
MTUS2	4
MX2	4
MYH11	4
MYH7	4
MYO15A	4
MYO18B	4
MYO3A	4
MYO6	4
MYO7B	4
NALCN	4
NBAS	4
NEFM	4
NIN	4
NLRP7	4
NME8	4
NMUR2	4
NOX3	4
NPHP3	4
NPTX2	4
NR3C2	4
NRK	4
NUMA1	4
OR10AG1	4
OR10G8	4
OR4N3P	4
OR4P4	4
OR51G1	4
OR5D16	4
OR5I1	4
OR5K4	4
OR5M3	4
OR8J3	4
OR9G9	4
OTOA	4
PALM2-AKAP2	4
PAPPA2	4
PARG	4
PASD1	4
PCDH7	4
PCDH9	4
PCDHB13	4
PCMTD1	4
PCSK6	4
PDE4DIP	4
PHLDB2	4
PHRF1	4
PIK3CB	4
PKD1L1	4
PKHD1L1	4
PLCG2	4
PLXNA4	4
PNPLA7	4
POTEG	4
PPEF2	4
PSD4	4
PSPH	4
PTX4	4
RALGAPA2	4
RBFOX1	4
RBM19	4
RBMS3	4
RBPJL	4
REPIN1	4
REXO1	4
RGPD4	4
RPL23AP32	4
SBF1	4
SCAF11	4
SCN3A	4
SCNN1G	4
SETD2	4
SEZ6L2	4
SGOL2	4
SH3RF2	4
SHROOM3	4
SIPA1L2	4
SLC22A10	4
SLC27A6	4
SLC35G3	4
SLC4A1	4
SLC6A14	4
SLC6A19	4
SLC6A3	4
SLC9C1	4
SLITRK6	4
SPAG5	4
SPAM1	4
SPINT1	4
SRRM2	4
SSTR4	4
ST18	4
STAB1	4
SULF1	4
SVIL	4
SVOPL	4
SYNE2	4
TACR3	4
TAF1	4
TAF7L	4
TAP2	4
TCN1	4
TDRD6	4
TEK	4
TGM3	4
TLR2	4
TMC1	4
TMPRSS7	4
TPO	4
TREML2	4
TRIM10	4
TRIM6-TRIM34	4
TRIOBP	4
TRPV4	4
TRPV5	4
TSC2	4
UBR4	4
UGT2A1	4
UGT2B4	4
UHRF1BP1L	4
UNC13C	4
UNC45B	4
URGCP	4
USP6	4
UTRN	4
WDR65	4
WSCD2	4
WWC2	4
ZBTB39	4
ZDHHC4	4
ZFHX3	4
ZFHX4	4
ZMIZ1	4
ZNF181	4
ZNF569	4
ZNF813	4
ZNF831	4
ZNF845	4
ZNF91	4
ZPBP	4
ZSCAN29	4
GPX5	4
PODNL1	4
A1CF	3
A2M	3
AADACL4	3
AASS	3
ABCA5	3
ABCA6	3
ABCA9	3
ABCC5	3
ABCF1	3
ACTL9	3
ACTRT1	3
ADAMDEC1	3
ADAMTS20	3
ADAMTS8	3
ADARB2	3
ADCY2	3
ADNP2	3
AGAP6	3
AHR	3
AIM1	3
AKAP6	3
AKD1	3
ALMS1	3
ALPK1	3
ALPK2	3
ALPP	3
AMPD1	3
AMPH	3
AMY2B	3
ANKRD30B	3
ANO1	3
ANO7	3
AP3S1	3
APBB1	3
APC2	3
APOBEC1	3
APOBEC3F	3
APOF	3
AQP10	3
AQR	3
ARFGEF2	3
