Gene	SampleNumber
CD101	2
CD177	2
CD248	2
CD2BP2	2
CD300A	2
CD46	2
CD5	2
CD53	2
CD6	2
CD7	2
CD86	2
CD96	2
CDA	2
CDAN1	2
CDC23	2
CDC37	2
CDCP1	2
CDH15	2
CDH16	2
CDH19	2
CDH4	2
CDH7	2
CDH8	2
CDHR1	2
CDK13	2
CDK5RAP2	2
CDKL1	2
CDKN2B	2
CELA3B	2
CELF4	2
CELSR2	2
CEP128	2
CEP170P1	2
CEP63	2
CEP68	2
CEP97	2
CERS3	2
CES1	2
CFHR1	2
CFP	2
CFTR	2
CHD2	2
CHD7	2
CHGB	2
CHM	2
CHML	2
CHN2	2
CHRD	2
CHRDL2	2
CHRM4	2
CHRNA10	2
CHRNB4	2
CHST2	2
CHST6	2
CIDEA	2
CILP	2
CIZ1	2
CKMT1B	2
CLASP1	2
CLCA1	2
CLCN6	2
CLDN14	2
CLDN25	2
CLEC14A	2
CLEC1A	2
CLEC4C	2
CLIP2	2
CLMN	2
CLNK	2
CLPSL1	2
CLTC	2
CLYBL	2
CNDP1	2
CNDP2	2
CNGA1	2
CNGB1	2
CNKSR2	2
CNNM2	2
CNOT1	2
CNOT2	2
CNOT4	2
CNTN2	2
CNTNAP1	2
CNTNAP4	2
CNTRL	2
COG6	2
COIL	2
COL11A1	2
COL18A1	2
COL19A1	2
COL20A1	2
COL27A1	2
COL4A1	2
COL5A2	2
COLEC12	2
CORIN	2
CORO7-PAM16	2
COX10	2
CPA6	2
CPAMD8	2
CPB1	2
CPEB2	2
CPN2	2
CPVL	2
CPZ	2
CRB1	2
CREB3L3	2
CREBZF	2
CRELD1	2
CRHR2	2
CRNN	2
CROCC	2
CSDE1	2
CSF2	2
CSMD2	2
CSN3	2
CST9	2
CTAGE1	2
CTBP2	2
CTDP1	2
CTNNA1	2
CTNNA3	2
CTSF	2
CTSG	2
CTTN	2
CWF19L2	2
CX3CR1	2
CXADRP2	2
CXorf23	2
CYP11B2	2
CYP19A1	2
CYP1A2	2
CYP21A2	2
CYP27B1	2
CYP2C19	2
CYP2C8	2
CYP3A4	2
CYP7B1	2
CYP8B1	2
D2HGDH	2
DACH2	2
DAG1	2
DAGLB	2
DBR1	2
DCAF13	2
DCAF8	2
DCAF8L2	2
DCLK3	2
DCLRE1B	2
DCX	2
DDI1	2
DDR2	2
DDX11	2
DDX17	2
DDX39B	2
DDX3X	2
DDX53	2
DECR2	2
DEF6	2
DEFB114	2
DENND2A	2
DEPDC5	2
DET1	2
DGKE	2
DGKG	2
DHX40	2
DIAPH3	2
DIP2B	2
DIS3	2
DIS3L2	2
DKC1	2
DKK2	2
DLC1	2
DLD	2
DLGAP4	2
DMBX1	2
DMGDH	2
DMRT3	2
DMRTB1	2
DNAH12	2
DNAJB11	2
DNAJB4	2
DNAJB7	2
DNAJC11	2
DNAJC16	2
DNAJC19	2
DNAJC28	2
DNAJC6	2
DNTT	2
DOCK1	2
DOCK10	2
DOCK4	2
DOK2	2
DOK6	2
DPEP1	2
DPPA2	2
DPPA4	2
DPT	2
DPY19L2P1	2
DPY19L2P2	2
DPYD	2
DPYSL5	2
DQX1	2
DROSHA	2
DRP2	2
DSC1	2
DSCAML1	2
DSE	2
DSTYK	2
DTX4	2
DUS3L	2
DUS4L	2
DUSP27	2
DYNLRB1	2
DYRK4	2
EAF2	2
EBF3	2
ECEL1	2
EGF	2
EGFLAM	2
EGR2	2
EHMT2	2
EIF2S3	2
EIF3J	2
EIF4H	2
ELFN2	2
ELN	2
ELOVL7	2
EMILIN1	2
EML1	2
ENC1	2
ENOX1	2
ENOX2	2
EPAS1	2
EPB41L2	2
EPHA3	2
EPHB1	2
EPRS	2
EPS15	2
EPS15L1	2
EPS8L1	2
EPX	2
ERC2	2
ERCC1	2
ERCC4	2
ERG	2
ESPNL	2
ESX1	2
ETS1	2
EXD1	2
EXOC7	2
EXOSC5	2
EYA1	2
F2RL3	2
FADS3	2
FAM102A	2
FAM107B	2
FAM129A	2
FAM129C	2
FAM135B	2
FAM176C	2
FAM187B	2
FAM188B	2
FAM193A	2
FAM214B	2
FAM45A	2
FAM47B	2
FAM48A	2
FAM53C	2
FAM65C	2
FAM71F1	2
FAM75A3	2
FAM75D4	2
FAM83D	2
FANCD2	2
FAT4	2
FATE1	2
FAU	2
FBP1	2
FBXL5	2
FBXL6	2
FBXO22	2
FBXO24	2
FBXO31	2
FCAMR	2
FCER1A	2
FCHO2	2
FCRL2	2
FCRL4	2
FDPS	2
FECH	2
FFAR3	2
FGD6	2
FGF14	2
FGF18	2
FHDC1	2
FHL3	2
FIS1	2
FKBP8	2
FLNB	2
FLT4	2
FMNL2	2
FMO3	2
FMR1NB	2
FOCAD	2
FOLH1B	2
FOXA3	2
FOXI1	2
FOXJ2	2
FOXN1	2
FOXN4	2
FOXP3	2
FREM2	2
FRK	2
FRMD6	2
FRY	2
FSCB	2
FSTL4	2
FTSJ1	2
FUT3	2
FXR2	2
FZD9	2
G3BP1	2
GABBR2	2
GABPB1	2
GABRA3	2
GABRE	2
GABRG1	2
GAK	2
GAL3ST1	2
GAL3ST4	2
GALE	2
GALNT13	2
GALNT14	2
GALNT5	2
GALNT9	2
GAPVD1	2
GATA6	2
GATM	2
GBP5	2
GC	2
GEMIN8	2
GFI1B	2
GFM2	2
GGA1	2
GGTLC1	2
GHSR	2
GIMAP6	2
GJB3	2
GJD2	2
GKN1	2
GLP2R	2
GLRA3	2
GLYATL1	2
GMCL1P1	2
GNB1L	2
GOLGA6D	2
GORAB	2
GPATCH1	2
GPBAR1	2
GPR101	2
GPR107	2
GPR114	2
GPR124	2
GPR143	2
GPR158	2
GPR32	2
GPR37	2
GPR4	2
GPR52	2
GPR65	2
GPR68	2
GPR78	2
GPR85	2
GPS1	2
GRAMD3	2
GRB7	2
GRHL2	2
GRIA1	2
GRID2	2
GRIK1	2
GRIN2C	2
GRIN3A	2
GRIP2	2
GRIPAP1	2
GRM4	2
GRM5	2
GRM7	2
GSPT2	2
GSTA1	2
GSTA4	2
GTDC1	2
GTF2H1	2
H3F3C	2
HAL	2
HAO1	2
HARS	2
HAS2	2
HCAR3	2
HDAC9	2
HDLBP	2
HEATR3	2
HEATR4	2
HEATR5B	2
HECA	2
HECTD1	2
HELT	2
HGFAC	2
HIF3A	2
HIPK3	2
HIRA	2
HIST1H1C	2
HIST1H2BA	2
HIST3H3	2
HIVEP1	2
HK2	2
HK3	2
HLA-G	2
HMHA1	2
HNF1A	2
HNRNPU	2
HOMER1	2
HOXC11	2
HP1BP3	2
HPSE2	2
HRG	2
HS3ST1	2
HS3ST3A1	2
HSD11B1	2
HSP90AB1	2
HSP90AB3P	2
HSPBAP1	2
HSPBP1	2
HTR1E	2
HTR7	2
HTRA3	2
HYAL4	2
IBA57	2
ICOSLG	2
IDO1	2
IFITM1	2
IFT122	2
IGF1	2
IGF1R	2
IGSF3	2
IKBKAP	2
IKZF3	2
IL12B	2
IL12RB1	2
IL12RB2	2
IL17RA	2
IL18R1	2
IL1R1	2
IL1RN	2
IL22	2
IL26	2
IL36A	2
IL3RA	2
IL7R	2
ILF3	2
IMPDH1	2
INADL	2
INCENP	2
INHBA	2
INPP5J	2
INSC	2
INSR	2
INSRR	2
INTS10	2
IPO5	2
IQCE	2
IQCK	2
IRAK1	2
IRAK3	2
IRF4	2
IRF6	2
IRF8	2
IRS4	2
IRX1	2
ISM1	2
ITGA1	2
ITGA10	2
ITGA7	2
ITGA9	2
ITGB6	2
ITIH1	2
ITIH3	2
ITIH4	2
JAK1	2
JAK2	2
JAK3	2
JAKMIP2	2
JAKMIP3	2
JMJD1C	2
JUP	2
KALRN	2
KANK1	2
KANK4	2
KARS	2
KBTBD2	2
KCNB1	2
KCND1	2
KCNG2	2
KCNH8	2
KCNJ5	2
KCNK10	2
KCNK13	2
KCNK18	2
KCNQ1	2
KCNQ4	2
KCNT2	2
KCNV1	2
KCTD2	2
KDM1B	2
KDM4D	2
KDM5A	2
KDM5B	2
KDM5C	2
KDM6B	2
KIAA0284	2
KIAA0319	2
KIAA0564	2
KIAA0825	2
KIAA0947	2
KIAA1024	2
KIAA1033	2
KIAA1045	2
KIAA1211	2
KIAA1217	2
KIAA1377	2
KIAA1467	2
KIAA1549	2
KIAA1704	2
KIAA1804	2
KIF18B	2
KIF1B	2
KIF20B	2
KIF21A	2
KIF26A	2
KIF5C	2
KIF7	2
KIFAP3	2
KLF11	2
KLHDC7A	2
KLHL1	2
KLHL4	2
KLKB1	2
KLRG1	2
KNDC1	2
KNG1	2
KPNA6	2
KRAS	2
KRT1	2
KRT12	2
KRT15	2
KRT16	2
KRT18	2
KRT20	2
KRT23	2
KRT24	2
KRT25	2
KRT33A	2
KRT34	2
KRT39	2
KRT40	2
KRT74	2
KRT75	2
KRT84	2
KRTAP1-1	2
KRTAP10-12	2
KRTAP10-3	2
KRTAP10-9	2
KRTAP5-3	2
KRTAP5-4	2
KRTAP6-1	2
L3MBTL1	2
LAMB1	2
LAMC1	2
LAT2	2
LCAT	2
LDLRAD2	2
LEMD3	2
LGALS8	2
LGR5	2
LHCGR	2
LHFPL2	2
LHFPL3	2
LHX3	2
LHX9	2
LILRA4	2
LILRB4	2
LILRB5	2
LIMK2	2
LINC00207	2
LINGO2	2
LLGL1	2
LMAN1	2
LMBR1	2
LMO7	2
LNPEP	2
LOC100509575	2
LOC399753	2
LOC729020	2
LONRF3	2
LPAR1	2
LPAR5	2
LPIN1	2
LRFN2	2
LRIG3	2
LRP3	2
LRP4	2
LRP6	2
LRRC14	2
LRRC16A	2
LRRC16B	2
LRRC18	2
LRRC24	2
LRRC30	2
LRRC31	2
LRRC32	2
LRRC37A3	2
LRRC3B	2
LRRC4C	2
LRRC6	2
LRRC8B	2
LSR	2
LTN1	2
LY9	2
LY96	2
LYN	2
LYSMD3	2
MAGEA12	2
MAGEB16	2
MAGEB18	2
MAGEC3	2
MAGI1	2
MAGI2	2
MALT1	2
MAML1	2
MAOB	2
MAP1A	2
MAP1B	2
MAP1S	2
MAP3K15	2
MAP3K7	2
MAP4K1	2
MAP4K3	2
MAP4K4	2
MAPK1	2
MAPK8IP1	2
MAPK8IP2	2
10-Mar	2
04-Mar	2
06-Mar	2
MARCO	2
MARS	2
MARVELD2	2
MAST3	2
MAT1A	2
MATR3	2
MAX	2
MC5R	2
MCC	2
MCHR2	2
MCM4	2
MCM5	2
MCM7	2
MCTP2	2
MDM2	2
MDN1	2
MEF2A	2
MEIS3	2
MEN1	2
MEP1A	2
METRNL	2
METTL17	2
MFSD7	2
MGAT4B	2
MIA2	2
MIB2	2
MICAL3	2
MIDN	2
MIER2	2
MINA	2
MKL1	2
MKS1	2
MLST8	2
MLXIPL	2
MMEL1	2
MMP19	2
MMP27	2
MMP7	2
MMP9	2
MNS1	2
MOV10	2
MPHOSPH8	2
MPO	2
MPP3	2
MPP7	2
MPZL1	2
MRGPRX2	2
MRPL32	2
MRVI1	2
MS4A12	2
MS4A3	2
MS4A8B	2
MSH4	2
MST1R	2
MST4	2
MTDH	2
MTERF	2
MTF1	2
MTHFR	2
MTM1	2
MTMR1	2
MTMR11	2
MTMR12	2
MTMR8	2
MTMR9	2
MTUS1	2
MYF5	2
MYH3	2
MYH6	2
MYO10	2
MYO19	2
MYO1G	2
MYO3B	2
MYOM1	2
MYOZ2	2
MYSM1	2
MYT1L	2
NAA35	2
NAB2	2
NADKD1	2
NAF1	2
NAP1L5	2
NBEAP1	2
NBPF1	2
NCAM1	2
NCAN	2
NCAPH2	2
NCDN	2
NCKAP5	2
NCOA2	2
NCOA5	2
NCOR1	2
NCOR2	2
NCR1	2
NDN	2
NEDD4	2
NEFH	2
NEGR1	2
NEK1	2
NEK10	2
NEK3	2
NETO1	2
NEU2	2
NEXN	2
NFATC2	2
NFKBIE	2
NHP2L1	2
NISCH	2
NKAPL	2
NKX3-2	2
NLGN4X	2
NLRP1	2
NLRP13	2
NLRP2	2
NLRP8	2
NLRX1	2
NME7	2
NOBOX	2
NOD1	2
NOL6	2
NOL8	2
NOM1	2
NOTCH4	2
NOV	2
NPAS4	2
NPC1L1	2
NPFFR2	2
NPHP4	2
NPNT	2
NPPA	2
NPR3	2
NPRL2	2
NPTX1	2
NR1H2	2
NR1I3	2
NR2C1	2
NR2F2	2
NR4A1	2
NRG1	2
NRIP1	2
NSMAF	2
NT5C1B-RDH14	2
NT5E	2
NTF4	2
NTNG2	2
NUP107	2
NUP153	2
NUP210	2
NUP54	2
NXF3	2
NXPH1	2
NYAP1	2
NYNRIN	2
OCA2	2
OCIAD1	2
OCRL	2
ODF2L	2
OPHN1	2
OPRL1	2
OPRM1	2
OPTC	2
OR10A6	2
OR10H1	2
OR10H5	2
OR10J3	2
OR10R2	2
OR10Z1	2
OR12D2	2
OR13C3	2
OR13C4	2
OR13F1	2
OR13G1	2
OR14A16	2
OR14I1	2
OR14J1	2
OR1A1	2
OR1G1	2
OR2A25	2
OR2A5	2
OR2A7	2
OR2B11	2
OR2G6	2
OR2L13	2
OR2M2	2
OR2M4	2
OR2T10	2
OR2T27	2
OR2T3	2
OR2Y1	2
OR2Z1	2
OR3A2	2
OR3A4P	2
OR4A5	2
OR4B1	2
OR4C12	2
OR4C16	2
OR4C46	2
OR4C6	2
OR4D11	2
OR4D6	2
OR4F6	2
OR4K1	2
OR4K2	2
OR4N4	2
OR4N5	2
OR4S2	2
OR51B6	2
OR51E1	2
OR51E2	2
OR51M1	2
OR51S1	2
OR52E2	2
OR52E6	2
OR52H1	2
OR52I1	2
OR52I2	2
OR52K1	2
OR52N1	2
OR52R1	2
OR56A3	2
OR5AC2	2
OR5B17	2
OR5C1	2
OR5F1	2
OR5H1	2
OR5H2	2
OR5H6	2
OR5L1	2
OR5M11	2
OR5M8	2
OR6B1	2
OR6C3	2
OR6C4	2
OR6F1	2
OR6K2	2
OR6N2	2
OR6V1	2
OR7A10	2
OR7A17	2
OR7G2	2
OR8A1	2
OR8D4	2
OR8H3	2
OR8S1	2
OR9G4	2
ORAI1	2
OS9	2
OSBP2	2
OSGEP	2
OSMR	2
OTOF	2
OTOP3	2
OTUD5	2
OTX2	2
OVCH1	2
P4HTM	2
PA2G4	2
PABPC5	2
PACS1	2
PAH	2
PAM	2
PAMR1	2
PANX3	2
PAPL	2
PAPOLA	2
PAPPA	2
PARP1	2
PARP12	2
PARP9	2
PBRM1	2
PC	2
PCCA	2
PCDH10	2
PCDH18	2
PCDHB12	2
PCDHB16	2
PCDHB6	2
PCF11	2
PCNX	2
PCNXL2	2
PCOLCE2	2
PCSK2	2
PDCD11	2
PDE11A	2
PDE1A	2
PDE4A	2
PDE6A	2
PDE6B	2
PDHA2	2
PDILT	2
PDPR	2
PDS5A	2
PDZD2	2
PDZD4	2
PEG10	2
PER3	2
PEX5L	2
PFKFB1	2
PGBD1	2
PHACTR2	2
PHF12	2
PHF16	2
PHF20L1	2
PHKA1	2
PHLPP2	2
PHYHIP	2
PI4KB	2
PIAS4	2
PID1	2
PIGO	2
PIK3C2B	2
PIP5K1B	2
PIRT	2
PIWIL1	2
PIWIL2	2
PIWIL3	2
PKD2	2
PKP2	2
PLCH1	2
PLCL2	2
PLEKHA7	2
PLEKHG1	2
PLEKHG2	2
PLEKHG6	2
PLEKHH1	2
PLEKHM3	2
PLG	2
PLIN2	2
PLIN4	2
PLK1S1	2
PLS1	2
PLXDC2	2
PMFBP1	2
PMPCB	2
PMS2	2
PNPLA6	2
POLI	2
POLR1A	2
POLR2A	2
POLRMT	2
POM121	2
PON1	2
POTEA	2
POTED	2
POTEM	2
PPEF1	2
PPFIA4	2
PPIG	2
PPM1J	2
PPP1R16B	2
PPP1R26	2
PPP2R1B	2
PRAMEF1	2
PRAMEF2	2
PRB3	2
PRB4	2
PRCP	2
PRG4	2
PRKCG	2
PRKCQ	2
PRKCSH	2
PRMT10	2
PROL1	2
PRPF31	2
PRPF40A	2
PRPF8	2
PRPS1L1	2
PRPS2	2
PRR12	2
PRR23B	2
PRSS3P2	2
PRSS55	2
PRSS58	2
PRX	2
PSAT1	2
PSD3	2
PSG5	2
PSG9	2
PSMB8	2
PTCH2	2
PTCHD4	2
PTK2B	2
PTPDC1	2
PTPN22	2
PTPRB	2
PTPRC	2
PTPRG	2
PTPRK	2
PTPRN2	2
PTPRS	2
PTPRZ1	2
PYGB	2
PYHIN1	2
QARS	2
QSER1	2
R3HDML	2
RAB11B	2
RAB11FIP4	2
RAB3GAP1	2
RAB4B	2
RAD54B	2
RAG2	2
RAI1	2
RAI14	2
RAI2	2
RALYL	2
RANBP10	2
RANBP17	2
RANGAP1	2
RAP2B	2
RAPGEF6	2
RASAL3	2
RASGRF2	2
RASGRP2	2
RBBP5	2
RBBP6	2
RBFA	2
RBM44	2
RBMX	2
RBMXL2	2
RBP3	2
RCAN2	2
RCBTB2	2
RDH8	2
RECQL5	2
REM1	2
RENBP	2
RERGL	2
REV1	2
RFPL2	2
RFPL3	2
RFX1	2
RGAG1	2
RGL1	2
RGL3	2
RGS3	2
RGS4	2
RGS9	2
RHBDL1	2
RHBDL3	2
RIC8B	2
RICTOR	2
RIMBP3	2
RIMBP3B	2
RIN3	2
RIPK4	2
RLIM	2
RNASE11	2
RNF128	2
RNF133	2
RNF213	2
RNF31	2
RNF43	2
ROBO2	2
ROBO4	2
RPA4	2
RPE65	2
RPL10	2
RPL10L	2
RPL11	2
RPL36A-HNRNPH2	2
RPS6KA2	2
RPS6KA6	2
RPTOR	2
RSBN1L	2
RSPO4	2
RTEL1	2
RTP1	2
RTTN	2
RUFY2	2
RUSC2	2
RUVBL1	2
RXFP1	2
RXRA	2
S100A8	2
SAGE1	2
SALL1	2
SAMD7	2
SAMSN1	2
SAPCD2	2
SBNO1	2
SBNO2	2
SBSN	2
SCAF1	2
SCAND3	2
SCG2	2
SCML2	2
SCN4A	2
SDCCAG8	2
SDPR	2
SDR9C7	2
SEC14L5	2
SEC16A	2
SEC23IP	2
SEC63	2
SELE	2
SELP	2
SELPLG	2
SEMA4F	2
10-Sep	2
12-Sep	2
14-Sep	2
07-Sep	2
SEPSECS	2
SERINC2	2
SERPINA6	2
SERPINB12	2
SERPINB13	2
SERPINE1	2
SERPING1	2
SERPINI1	2
SEZ6	2
SF1	2
SF3B1	2
SF3B2	2
SFI1	2
SFSWAP	2
SFTPC	2
SGK1	2
SGK223	2
SGPP2	2
SGSM1	2
SH2D1B	2
SHANK3	2
SHH	2
SHPRH	2
SI	2
SIGLEC1	2
SIGLEC11	2
SIGLEC14	2
SIGLEC5	2
SIGLEC9	2
SIPA1	2
SIRPA	2
SIRPG	2
SIX4	2
SLC12A2	2
SLC12A3	2
SLC13A2	2
SLC13A5	2
SLC14A2	2
SLC15A1	2
SLC17A8	2
SLC22A20	2
SLC22A5	2
SLC22A7	2
SLC24A1	2
SLC25A32	2
SLC26A8	2
SLC29A4	2
SLC2A1	2
SLC2A14	2
SLC30A3	2
SLC35E4	2
SLC36A2	2
SLC38A1	2
SLC38A7	2
SLC3A1	2
SLC3A2	2
SLC44A3	2
SLC45A3	2
SLC45A4	2
SLC46A2	2
SLC4A10	2
SLC4A2	2
SLC5A12	2
SLC5A3	2
SLC5A8	2
SLC6A13	2
SLC6A6	2
SLC7A13	2
SLC7A14	2
SLC7A3	2
SLC7A5	2
SLC9A2	2
SLC9A7	2
SLCO1B3	2
SLCO2A1	2
SLFN12	2
SLK	2
SLTM	2
SMARCA5	2
SMARCC2	2
SMC1B	2
SMCR7	2
SMTNL1	2
SMURF1	2
SNAI2	2
SND1	2
SNRNP200	2
SNX30	2
SOCS6	2
SOHLH1	2
SORCS2	2
SORCS3	2
SOX14	2
SOX7	2
SP100	2
SP110	2
SP4	2
SPACA3	2
SPAG4	2
SPAG9	2
SPATC1	2
SPDYE4	2
SPERT	2
SPIN3	2
SPOCD1	2
SPOCK3	2
SPP2	2
SPRY3	2
SPTB	2
SPTBN1	2
SPTBN4	2
SRBD1	2
SRC	2
SRGAP1	2
SRGAP2	2
SRL	2
SRP54	2
SRPK1	2
SRRM4	2
SRRT	2
SRSF5	2
SSH1	2
ST14	2
ST3GAL6	2
STAB2	2
STARD3NL	2
STAT4	2
STAU1	2
STEAP1	2
STEAP4	2
STK31	2
STRN	2
STS	2
STXBP1	2
STXBP5	2
SUCLG1	2
SUPT3H	2
SV2B	2
SV2C	2
SYCP1	2
SYT9	2
SZT2	2
TAF15	2
TAF2	2
TAF4	2
TAOK3	2
TAS1R2	2
TAS2R1	2
TAT	2
TBC1D2	2
TBC1D22A	2
TBC1D8B	2
TBC1D9	2
TCEB3B	2
TCF20	2
TCF3	2
TCF7L2	2
TCTN2	2
TDG	2
TDP2	2
TDRD10	2
TEKT5	2
TERT	2
TES	2
TESK1	2
TET2	2
TET3	2
TEX13B	2
TEX34	2
TFAP2D	2
TFEC	2
TGFBR1	2
TGFBR2	2
TGM5	2
THBS1	2
THBS4	2
THEG	2
THOC1	2
THSD4	2
THSD7A	2
TIE1	2
TIMD4	2
TINAG	2
TJAP1	2
TJP1	2
TLE2	2
TLE4	2
TLN2	2
TLR10	2
TLR5	2
TM2D1	2
TMC2	2
TMC4	2
TMC5	2
TMCO5A	2
TMEM109	2
TMEM132E	2
TMEM156	2
TMEM161A	2
TMEM163	2
TMEM214	2
TMEM229B	2
TMEM241	2
TMEM26	2
TMEM70	2
TMF1	2
TMPRSS11A	2
TMPRSS4	2
TMPRSS9	2
TNC	2
TNFRSF4	2
TNFSF10	2
TNFSF14	2
TNIK	2
TNIP3	2
TNN	2
TNRC18	2
TNRC6C	2
TNS3	2
TNXB	2
TOMM40L	2
TONSL	2
TPCN1	2
TPH1	2
TPR	2
TPST2	2
TPX2	2
TRAK2	2
TREML1	2
TRIM29	2
TRIM3	2
TRIM4	2
TRIM42	2
TRIM7	2
TRIM71	2
TRIML2	2
TRIP12	2
TRMT1	2
TRPM4	2
TSGA13	2
TSHZ3	2
TSKS	2
TSNARE1	2
TTBK1	2
TTC17	2
TTC21A	2
TTC31	2
TTC37	2
TTC5	2
TTK	2
TTLL11	2
TTYH1	2
TUBA4B	2
TUBG1	2
TUBGCP3	2
TUBGCP5	2
TULP1	2
TXNDC2	2
TXNRD2	2
TYRO3	2
TYRP1	2
TYSND1	2
UBA52	2
UBAP2L	2
UBN2	2
UBR1	2
UGGT2	2
UGT2B11	2
UGT2B7	2
UGT3A1	2
UHRF1BP1	2
ULK2	2
UMOD	2
UNC45A	2
UNC5CL	2
UNC93A	2
UNKL	2
UPP1	2
USH1G	2
USP15	2
USP20	2
USP26	2
USP29	2
USP49	2
USP51	2
UVRAG	2
VARS	2
VARS2	2
VAV1	2
VAV2	2
VEZF1	2
VIL1	2
VILL	2
VPS13B	2
VPS13C	2
VPS16	2
VPS18	2
VSIG10	2
VTCN1	2
WDR1	2
WDR64	2
WDR67	2
WDR88	2
WDYHV1	2
WEE2	2
WFDC8	2
WIPI1	2
WNT10A	2
WWC3	2
XCL1	2
XKR7	2
XKR9	2
XRCC1	2
XYLT2	2
YIPF6	2
YOD1	2
YY2	2
ZBBX	2
ZBED1	2
ZBED2	2
ZBP1	2
ZBTB2	2
ZC3H12B	2
ZCCHC14	2
ZFAT	2
ZFP28	2
ZFP30	2
ZFR	2
ZFYVE26	2
ZIM3	2
ZMYM3	2
ZNF142	2
ZNF157	2
ZNF202	2
ZNF207	2
ZNF23	2
ZNF254	2
ZNF257	2
ZNF263	2
ZNF275	2
ZNF280A	2
ZNF280B	2
ZNF280C	2
ZNF317	2
ZNF318	2
ZNF324	2
ZNF335	2
ZNF337	2
ZNF345	2
ZNF347	2
ZNF362	2
ZNF365	2
ZNF366	2
ZNF37A	2
ZNF385D	2
ZNF41	2
ZNF430	2
ZNF449	2
ZNF451	2
ZNF462	2
ZNF479	2
ZNF493	2
ZNF516	2
ZNF518B	2
ZNF526	2
ZNF527	2
ZNF534	2
ZNF543	2
ZNF544	2
ZNF546	2
ZNF554	2
ZNF556	2
ZNF563	2
ZNF571	2
ZNF638	2
ZNF644	2
ZNF646	2
ZNF665	2
ZNF674	2
ZNF676	2
ZNF681	2
ZNF697	2
ZNF701	2
ZNF71	2
ZNF732	2
ZNF76	2
ZNF761	2
ZNF768	2
ZNF786	2
ZNF79	2
ZNF8	2
ZNF81	2
ZNF860	2
ZNHIT6	2
ZP2	2
ZRANB3	2
ZSCAN1	2
ZSCAN22	2
ZSWIM2	2
ZYX	2
LCE4A	2
PARD6B	2
PLCH2	2
TMEM147	2
CDX4	2
A1BG	1
AADAC	1
AADACL3	1
AAED1	1
AANAT	1
AARS	1
AARS2	1
AATK	1
ABCA1	1
ABCA12	1
ABCA3	1
ABCA7	1
ABCB6	1
ABCB7	1
ABCB8	1
ABCC11	1
ABCC6	1
ABCC8	1
ABCD1	1
ABCD3	1
ABCG2	1
ABCG4	1
ABCG5	1
ABCG8	1
ABHD10	1
ABHD3	1
ABI3	1
ABO	1
ABR	1
ABTB1	1
ACAA1	1
ACAD10	1
ACADVL	1
ACBD3	1
ACCS	1
ACCSL	1
ACER2	1
ACER3	1
ACIN1	1
ACLY	1
ACMSD	1
ACO1	1
ACOT11	1
ACOT12	1
ACOT4	1
ACOT8	1
ACOT9	1
ACOX2	1
ACOXL	1
ACR	1
ACSF2	1
ACSL1	1
ACSL3	1
ACSM1	1
ACSM3	1
ACSM5	1
ACTA2	1
ACTN1	1
ACTN3	1
ACTR5	1
ACTR6	1
ACTR8	1
ACTRT3	1
ACVRL1	1
ACY3	1
ACYP1	1
ADAD1	1
ADAM12	1
ADAM20	1
ADAM7	1
ADAMTS1	1
ADAMTS13	1
ADAMTS15	1
ADAMTS17	1
ADAMTS4	1
ADAMTS6	1
ADAMTSL4	1
ADAT3	1
ADCK4	1
ADCY4	1
ADCY7	1
ADCY8	1
ADCYAP1R1	1
ADH7	1
ADM2	1
ADPGK	1
ADPRHL1	1
ADRA2B	1
ADRM1	1
AEBP1	1
AFAP1	1
AFAP1L1	1
AFAP1L2	1
AFF3	1
AFG3L2	1
AGAP2	1
AGAP5	1
AGBL2	1
AGL	1
AGMO	1
AGPAT2	1
AGPAT6	1
AGRN	1
AGT	1
AGTR1	1
AGTR2	1
AGXT	1
AGXT2L1	1
AGXT2L2	1
AHDC1	1
AHRR	1
AIDA	1
AIFM1	1
AIM2	1
AIRE	1
AJUBA	1
AK096395	1
AK1	1
AK124523	1
AK5	1
AKAP1	1
AKAP11	1
AKAP14	1
AKAP17A	1
AKAP5	1
AKAP8	1
AKAP8L	1
AKNA	1
AKNAD1	1
AKR1A1	1
AKR1B10	1
AKR1B15	1
AKR1C3	1
AKR1E2	1
AKT1	1
ALAS1	1
ALDH1A1	1
ALDH1A3	1
ALDH1L2	1
ALDH3B2	1
ALDH5A1	1
ALDOB	1
ALG1	1
ALG10B	1
ALG1L2	1
ALK	1
ALOX15B	1
ALOX5	1
ALPI	1
ALS2	1
AMBN	1
AMDHD1	1
AMDHD2	1
AMELX	1
AMHR2	1
AMMECR1L	1
AMN1	1
AMOTL1	1
AMOTL2	1
AMPD2	1
AMPD3	1
AMZ1	1
ANGEL2	1
ANGPT1	1
ANGPTL5	1
ANKAR	1
ANKDD1A	1
ANKFY1	1
ANKHD1-EIF4EBP3	1
ANKIB1	1
ANKRA2	1
ANKRD10	1
ANKRD12	1
ANKRD16	1
ANKRD18A	1
ANKRD20A3	1
ANKRD20A5P	1
ANKRD24	1
ANKRD28	1
ANKRD34A	1
ANKRD34B	1
ANKRD40	1
ANKRD44	1
ANKRD46	1
ANKRD50	1
ANKRD53	1
ANKRD55	1
ANKRD6	1
ANKS4B	1
ANO3	1
ANP32C	1
ANP32D	1
ANP32E	1
ANPEP	1
ANXA3	1
ANXA8L1	1
AOC4	1
AP1B1	1
AP1S2	1
AP2A2	1
